Species	GF	Decid_Evergreen	Needle_Broadlf	C3C4	N2_fixer	LL	LMA	Nmass	Pmass	Amass	Gs
Adenostoma_fasciculatum	S	E	N	C3	N	3.508794408	11.63479294	1.071436209	0.39364728	5.424902896	10.51286768
Adenostoma_fasciculatum	S	E	NA	C3	N	NA	9.742821275	0.890426422	NA	NA	NA
Adina_cordifolia	T	D	B	NA	N	2.59670286	8.064135039	1.377329234	0.438713481	NA	NA
Adinandra_dumosa	T	NA	NA	NA	N	NA	7.697985011	NA	NA	7.058570198	NA
Adinandra_dumosa	T	NA	NA	NA	N	NA	9.368204318	NA	NA	NA	NA
Adonis_vernalis	H	NA	NA	NA	N	NA	6.297206324	1.566284603	NA	NA	NA
Adpdytes_dimidiata	T	NA	B	C3	N	NA	8.804152961	1.440137442	NA	NA	NA
Aegilops_geniculata	G	D	B	C3	N	1.381359771	5.175697656	1.491052857	NA	12.49128585	NA
Aegilops_geniculata	G	D	B	C3	N	NA	4.800097527	1.671621405	NA	NA	NA
Aegilops_ovata	G	NA	NA	NA	N	NA	5.136582731	1.571116378	NA	NA	NA
Aegiphila_costaricensis	T	D	NA	NA	N	NA	5.126284313	1.210328387	0.509889255	NA	NA
Aegiphila_lhotzkiana	T	NA	B	C3	N	NA	7.998056848	1.531903778	NA	6.633248159	NA
Aegle_marmelos	T	D	B	NA	N	NA	7.839574952	1.330503323	0.752769162	NA	NA
Aegopodium_podagraria	H	NA	NA	NA	N	NA	4.56543564	1.841972384	NA	NA	NA
Aesculus_californica	T	D	NA	NA	N	NA	6.400824259	1.357539331	NA	NA	NA
Aesculus_hippocastanum	T	D	NA	NA	N	NA	6.444827923	1.450842703	0.44759347	NA	NA
Aextoxicon_punctatum	T	E	B	C3	N	5.172999408	8.421334272	0.991264454	NA	5.03795548	6.289295685
Aextoxicon_punctatum	T	E	B	C3	N	5.654172453	8.190074521	0.982427463	NA	NA	NA
Agastache_foeniculum	H	NA	B	C3	N	NA	7.146167825	1.54676035	NA	9.570955438	14.18586918
Agrimonia_gryposepala	H	NA	NA	NA	NA	NA	5.398562852	NA	NA	NA	NA
Agropyron_repens	G	NA	B	C3	N	1.351249873	5.698098991	1.285605519	NA	8.96317573	10.06567925
Agropyron_repens	G	NA	B	C3	N	1.267501557	5.992357968	1.478362575	NA	13.39821231	14.2678877
Agropyron_sp	G	NA	NA	NA	N	NA	4.761997896	1.723001873	NA	NA	NA
Agrostis_nigritella	G	NA	NA	NA	N	NA	7.15980645	1.39717697	NA	NA	NA
Agrostis_scabra	G	NA	B	C3	N	NA	6.876556326	1.20965077	NA	13.10431112	15.03103953
Agrostis_tenuis	G	NA	NA	NA	N	NA	4.931318469	NA	NA	NA	NA
Ajania_tibetica	S	NA	NA	NA	NA	NA	7.704367062	NA	NA	NA	NA
Albizia_adinathifolia	T	NA	B	C3	Y	NA	7.26426165	1.785651968	NA	NA	NA
Albizia_antunesiana	T	NA	NA	NA	Y	NA	NA	NA	NA	NA	NA
Alchemilla_verticillata	H	NA	B	C3	N	NA	4.18440184	1.587877149	NA	NA	NA
Alchornea_costaricense	T	NA	NA	NA	N	2.063236507	NA	1.441217129	NA	NA	NA
Allium_platyspathum	H	NA	NA	NA	NA	NA	7.892816013	NA	NA	NA	NA
Allium_rubens	H	NA	NA	NA	N	NA	7.7948449	1.265464405	NA	NA	NA
Allium_sp	H	NA	NA	NA	NA	NA	4.72405819	NA	NA	NA	NA
Allium_strictum	H	NA	NA	NA	N	NA	6.821799725	1.269119554	NA	NA	NA
Allocasuarina_pusilla	S	E	N	NA	Y	NA	13.26364259	1.025628777	0.262568792	NA	NA
